317065 | 8
277099 | 1
665420 | 7
635236 | 7
647862 | 3
105875 | 8
812312 | 1
635520 | 8
515280 | 8
832387 | 9
567227 | 2
718790 | 0
668622 | 3
666486 | 7
183835 | 9
361966 | 10
483527 | 6
780613 | 6
279713 | 1
642817 | 9
439056 | 3
911970 | 3
248677 | 0
568501 | 6
410901 | 3
439379 | 7
396436 | 2
776589 | 2
403749 | 1
897802 | 5
571491 | 0
928622 | 10
313107 | 9
508479 | 1
882001 | 7
545294 | 3
602307 | 6
370654 | 9
886365 | 9
264459 | 1
303953 | 6
182110 | 6
220323 | 6
138414 | 8
406719 | 8
829995 | 10
776625 | 4
925305 | 4
868205 | 3
720905 | 4
984665 | 10
970994 | 10
202465 | 4
999722 | 6
546928 | 9
122349 | 10
326838 | 9
340432 | 1
176731 | 5
260694 | 3
516910 | 5
478929 | 10
647418 | 10
595007 | 7
410687 | 2
697784 | 6
507070 | 3
508494 | 7
623475 | 5
465990 | 8
834700 | 9
309242 | 8
483525 | 5
482925 | 2
714064 | 1
895977 | 9
675114 | 6
575064 | 7
479400 | 3
313264 | 9
780569 | 7
446409 | 10
643757 | 2
837044 | 7
845609 | 7
889197 | 1
755086 | 4
800997 | 4
153442 | 8
320124 | 0
337801 | 4
246983 | 7
182203 | 7
619123 | 3
668305 | 1
658712 | 9
137602 | 7
712708 | 10
501774 | 10
216759 | 10
